Source,Target,Weight
Reuters,Ukraine,153
Mỹ,Zelensky,152
Ukraine,phương Tây,152
Istanbul,Thổ Nhĩ Kỳ,152
Hà Nội,Hàn Quốc,151
miền Bắc,miền Nam,151
TP HCM,TP Thủ Đức,151
Bangkok,Thái Lan,151
Hải Phòng,Đà Nẵng,151
Philippines,Thái Lan,151
Báo Thanh Niên,TP. HCM,151
Indonesia,Trung Quốc,150
Donald Trump,Vladimir Putin,150
Dân trí,TPHCM,150
nam,viet,150
Mỹ,Volodymyr Zelensky,149
Bắc Ninh,Hà Nội,149
Anh,Reuters,148
Dải Gaza,Israel,148
Hà Nội,Quảng Ninh,147
Anh,Nga,147
Donald Trump,châu Âu,147
Philippines,Trung Quốc,147
Việt Nam,Đại sứ quán Việt Nam,146
Huế,Hà Nội,146
Malaysia,Trung Quốc,146
NATO,Ukraine,146
Thượng Hải,Trung Quốc,145
Thanh Hóa,Đà Nẵng,145
Mỹ,NATO,145
Nam Định,Việt Nam,145
Hà Nội,TPHCM,144
Thái Lan,[UNK] Độ,144
Q. 1,TP. HCM,144
Joe Biden,Mỹ,144
Sài Gòn,miền Nam,143
Nga,Đức,142
Bình Định,Việt Nam,142
Dân trí,Mỹ,142
Liên hợp quốc,Việt Nam,141
Nga,Điện Kremlin,139
Moscow,Mỹ,139
Nam Bộ,Tây Nguyên,138
Trung Quốc,Washington,138
Hàn Quốc,[UNK] Độ,138
Anh,Man City,138
Myanmar,Việt Nam,138
Istanbul,Mỹ,138
Bắc,Việt Nam,137
Mỹ,Qatar,136
Nga,Washington,136
[UNK] Độ,châu Á,136
Donald Trump,Putin,136
Bộ Chính trị,Phạm Minh Chính,136
TP. HCM,miền Nam,135
Hà Nội,Thái Lan,135
Bình Dương,Đồng Nai,135
Bình Dương,TP. HCM,135
Báo Người Lao Động,TP HCM,135
Israel,Trung Đông,135
Bộ Tài chính,Việt Nam,135
Canada,Việt Nam,134
Trung Quốc,[UNK],133
Bắc Bộ,Thanh Hóa,133
TP HCM,miền Nam,133
Campuchia,Thái Lan,133
Liên bang Nga,Nga,133
Malaysia,Đông Nam Á,132
Liên bang Nga,Việt Nam,132
Hà Nội,Phạm Minh Chính,131
Mỹ,miền Nam,131
Quảng Nam,Việt Nam,131
Putin,Trump,131
Hà Nội,UBND TP Hà Nội,130
Anh,Liverpool,130
Nhật Bản,[UNK],129
Pháp,[UNK],129
Nghệ An,tỉnh Nghệ An,128
Bắc Giang,Hà Nội,128
Trung,Việt Nam,128
Tây Ban Nha,châu Âu,128
Ukraine,Washington,128
Quảng Ninh,Việt Nam,127
Brazil,Việt Nam,127
TP. HCM,Thanh Niên,126
Hà Nội,quận Hoàn Kiếm,126
Trung Quốc,Đông Nam Á,126
Indonesia,Malaysia,126
Brazil,Mỹ,126
Reuters,châu Âu,126
Nhật Bản,Singapore,125
thành phố Đà Nẵng,Đà Nẵng,125
Hồ Chí Minh,miền Nam,124
Indonesia,Philippines,124
Trump,Trung Đông,124
Pháp,Tây Ban Nha,123
Hàn Quốc,Singapore,123
châu Á,Đông Nam Á,123
Bác Hồ,Hà Nội,123
Phú Quốc,Việt Nam,123
Australia,Mỹ,123
Bayern,Đức,123
Nhật Bản,Đức,122
Mỹ,Tây Ban Nha,122
Anh,[UNK],122
Donald Trump,Trung Đông,122
Kazakhstan,Việt Nam,122
Hà Nội,Hà Đông,121
Mỹ,TP. HCM,121
Ba Đình,Hà Nội,121
Bộ Chính trị,Hà Nội,121
Nhật Bản,Pháp,120
Hà Nội,thành phố Hà Nội,120
Bắc Bộ,Hà Nội,120
Hoa Kỳ,Mỹ,120
Liên minh châu Âu,Mỹ,120
Indonesia,Đông Nam Á,119
Bộ Công an,Hà Nội,119
Fed,Mỹ,119
[UNK],châu Âu,118
Ukraine,Điện Kremlin,118
Viettel,Việt Nam,118
Nam,Việt,117
Trung Quốc,Tập Cận Bình,117
Anh,Donald Trump,117
Bình Dương,TP HCM,117
miền Trung,Đà Nẵng,117
UNESCO,Việt Nam,117
Bình Định,Đà Nẵng,117
Nhà Trắng,Trung Quốc,117
TP. HCM,UBND TP. HCM,116
Hà Nội,Thành phố Hồ Chí Minh,116
Mỹ,Đông Nam Á,116
Bắc Bộ,Nam Bộ,116
Myanmar,Thái Lan,116
Istanbul,Putin,116
Hà Nội,sông Hồng,115
Gaza,Hamas,115
Putin,Thổ Nhĩ Kỳ,114
Dải Gaza,Hamas,114
Nhật Bản,Đài Loan,113
Hồ Chí Minh,Nghệ An,113
Nhà Trắng,Washington,113
Hà Nội,[UNK] Độ,112
Quảng Nam,tỉnh Quảng Nam,112
Tây Nguyên,Việt Nam,112
Singapore,châu Á,112
Singapore,Đông Nam Á,112
Trump,Zelensky,112
Phạm Minh Chính,Tô Lâm,112
TTXVN,Tô Lâm,112
Lương Cường,Việt Nam,112
[UNK],Đức,111
Trump,Vladimir Putin,111
Gaza,Mỹ,111
Huế,Việt Nam,110
Lào,Thái Lan,110
Anh,Man Utd,110
Anh,Ukraine,110
TP HCM,Đà Nẵng,110
Nam Định,Thanh Hóa,110
Hải Phòng,Thanh Hóa,110
Cầu Giấy,Hà Nội,110
UBND TP Đà Nẵng,Đà Nẵng,110
Hamas,Mỹ,110
Bệnh viện FV,FV,110
TP. HCM,Đồng Nai,109
Hàn Quốc,Seoul,109
Mỹ,Thái Bình Dương,109
Bắc Bộ,Tây Nguyên,109
Anh,Trump,109
Moskva,Nga,109
Thổ Nhĩ Kỳ,Vladimir Putin,109
Hà Nội,Hà Tĩnh,108
Hà Nội,châu Á,108
Anh,Tây Ban Nha,108
TP Hồ Chí Minh,Việt Nam,108
Ninh Bình,Việt Nam,108
Hàn,Hàn Quốc,108
Istanbul,Kiev,108
Marco Rubio,Mỹ,108
Việt Nam,nam,107
Hà Nội,TP Hồ Chí Minh,107
tỉnh Quảng Nam,Đà Nẵng,107
Tây Nguyên,miền Trung,107
Donald Trump,Thổ Nhĩ Kỳ,107
Apple,Mỹ,107
Liên minh châu Âu,châu Âu,107
Hong Kong,Trung Quốc,106
Hàn Quốc,châu Âu,106
Anh,Nhật Bản,106
Anh,Arsenal,106
Bình Dương,tỉnh Bình Dương,106
AP,Trump,106
Campuchia,Trung Quốc,106
Báo Nhân Dân,Việt Nam,106
Nhật Bản,Tokyo,105
Nam,miền Nam,105
Hà Nội,Thủ đô Hà Nội,105
Hà Nội,Ninh Bình,105
Indonesia,Nhật Bản,105
Bình Định,tỉnh Bình Định,105
AFP,Trump,105
Kiev,Vladimir Putin,105
Việt Nam,viet,104
Mỹ,Scott Bessent,104
[UNK],[UNK] Độ,104
Kiev,Moscow,104
Putin,Zelensky,104
Dải Gaza,Gaza,104
Hà Nội,Hưng Yên,103
Mỹ,Sài Gòn,103
Tây Nguyên,Đà Nẵng,103
Hải Phòng,Quảng Ninh,103
Phật giáo,Việt Nam,103
Bình Định,Hà Nội,103
Elon Musk,Mỹ,103
Biden,Mỹ,103
Hà Nội,Đức,102
Hàn Quốc,Đài Loan,102
Indonesia,châu Á,102
Anh,Chelsea,102
Cần Thơ,Đà Nẵng,102
Bắc Ninh,Việt Nam,102
Vladimir Putin,Volodymyr Zelensky,102
Hà Nội,Tây Nguyên,101
Nga,[UNK] Độ,101
Minh,Việt Nam,101
Bình Dương,Đà Nẵng,101
Istanbul,Vladimir Putin,101
Volodymyr Zelensky,Zelensky,101
Dải Gaza,Mỹ,101
Hà Nội,Vĩnh Phúc,100
Pháp,Ukraine,100
Hàn Quốc,[UNK],100
Hồ Chí Minh,Đảng Cộng sản Việt Nam,100
Hà Tĩnh,Việt Nam,100
New Zealand,Việt Nam,100
Moscow,Vladimir Putin,100
ASEAN,Thái Lan,100
Putin,Điện Kremlin,100
Hà Nội,Tô Lâm,99
Thanh Hóa,Tây Nguyên,99
Hàn Quốc,Pháp,99
Mỹ,TP HCM,99
Indonesia,Singapore,99
Bình Dương,Hải Phòng,99
Tây Ban Nha,Việt Nam,99
Ukraine,Đức,99
Bình Định,Nam Định,99
AP,Donald Trump,99
HAGL,Nam Định,99
Belarus,Việt Nam,99
Hà Nam,Hà Nội,98
Donald Trump,Istanbul,98
Moscow,Putin,98
Bộ Công Thương,Việt Nam,98
EU,Việt Nam,98
Kiev,Zelensky,98
Kiev,Putin,98
Hà Nội,Nam Bộ,97
[UNK] Độ,châu Âu,97
Israel,Palestine,97
Iran,Israel,97
Mỹ,UAE,96
Hồ Chí Minh,tỉnh Nghệ An,96
Anh,Canada,96
Donald Trump,Kiev,96
Cần Thơ,Hà Nội,96
Bộ Quốc phòng,Việt Nam,96
Lào Cai,Yên Bái,95
Việt Nam,châu Phi,95
Hà Nội,Lào Cai,95
Hà Nội,Quảng Nam,95
Donald Trump,Volodymyr Zelensky,95
Tổ chức Y tế Thế giới,WHO,95
Tây Ban Nha,Đức,95
Khánh Hòa,Nha Trang,95
Francis,Vatican,95
TP. HCM,[UNK],94
Hà Nội,quận Hoàng Mai,94
Hà Nội,châu Âu,94
Mỹ,Philippines,94
Mỹ,Tesla,94
Thụy Sĩ,Trung Quốc,94
Arsenal,Liverpool,94
Bộ Khoa học và Công nghệ,Việt Nam,93
Apple,Việt Nam,93
Hải Phòng,Nam Định,93
Hồ,Hồ Chí Minh,93
##S,Mỹ,93
Thanh Niên,Việt Nam,93
Kim Sang - sik,Việt Nam,93
Istanbul,Zelensky,93
Vladimir Putin,Điện Kremlin,93
ha,noi,93
Hà Nội,Sài Gòn,92
Hà Nội,Singapore,92
Hà Nội,quận Hà Đông,92
Mỹ,Điện Kremlin,92
Indonesia,[UNK] Độ,92
Sài Gòn,TP HCM,92
Bộ Nông nghiệp và Môi trường,Việt Nam,92
Canada,Trung Quốc,92
Samsung,Việt Nam,92
Nha Trang,Việt Nam,92
Reuters,Đức,92
Nam Bộ,Thanh Hóa,91
Hà Nội,quận Cầu Giấy,91
Mỹ,Thụy Sĩ,91
Mỹ,REUTER,91
Báo Người Lao Động,Việt Nam,91
Bình Định,Quảng Nam,91
Australia,Trung Quốc,91
Thổ Nhĩ Kỳ,Trump,91
Nam,TP. HCM,90
Hà Nội,Đồng Nai,90
Nga,Trung Đông,90
Lào,Trung Quốc,90
Bình Dương,Nam Định,90
Donald Trump,Zelensky,90
Malaysia,Mỹ,90
Khánh Hòa,Việt Nam,90
Iran,Trung Quốc,90
Nhà Trắng,Ukraine,90
Vladimir Putin,Zelensky,90
Việt Nam,Đồng Nai,89
Việt Nam,WHO,89
Hàn Quốc,Đức,89
Anh,Hà Nội,89
Bắc,Hà Nội,89
Thái Bình Dương,Trung Quốc,89
EU,Nga,89
Kiev,Thổ Nhĩ Kỳ,89
Putin,Volodymyr Zelensky,89
FPT,Việt Nam,89
Dân,Việt Nam,89
Hà Nội,Thái Nguyên,88
Hà Nội,Khánh Hòa,88
Hàn Quốc,Malaysia,88
Mỹ,Nhật,88
Nga,Nhà Trắng,88
Anh,Tottenham,88
Liên Xô,Nga,88
AFP,Donald Trump,88
Kiev,Trump,88
CNN,Trump,88
Hà Nội FC,Nam Định,88
Q. 3,TP. HCM,87
Hà Nội,[UNK],87
Hà Nội,Đông Nam Á,87
Hà Nội,Đông Anh,87
Trung Quốc,phương Tây,87
Bộ Y tế,Hà Nội,87
Bangkok,Việt Nam,87
Malaysia,Nhật Bản,87
Hoàng Mai,Hà Nội,87
Australia,Nhật Bản,87
Liverpool,Man City,87
Houthi,Mỹ,87
Nam,TP HCM,86
Mỹ,Pakistan,86
miền Bắc,miền Trung,86
Huế,Thanh Hóa,86
Thái,Thái Lan,86
Anh,[UNK] Độ,86
Hà Tĩnh,Thanh Hóa,86
Iran,Trung Đông,86
Trần Thanh Mẫn,Tô Lâm,86
Bloomberg,Mỹ,86
Hàn Quốc,Indonesia,85
Mỹ,Đài Loan,85
Hồ Chí Minh,miền nam,85
Bắc,miền Nam,85
Donald Trump,Việt Nam,85
Hà Tĩnh,Nghệ An,85
Hải Phòng,TP. HCM,85
London,Mỹ,85
Brazil,Trung Quốc,85
VFF,Việt Nam,85
Dân trí,Trung Quốc,85
AFP,Nga,85
Kiev,Volodymyr Zelensky,85
Leo XIV,Vatican,85
Việt Nam,Điện Biên Phủ,84
Hà Nội,Đống Đa,84
Trung Quốc,Ukraine,84
Pháp,[UNK] Độ,84
Bộ Y tế,Cục An toàn thực phẩm,84
Bộ Công an,Bộ Quốc phòng,84
Donald Trump,NATO,84
Bà Rịa - Vũng Tàu,Bình Dương,84
Hà Nội,Nga,83
Hà Nội,Hòa Bình,83
Mỹ,Nam,83
Nghệ An,Đà Nẵng,83
TP HCM,UBND TP HCM,83
Bình Dương,Bình Định,83
Apple,Trung Quốc,83
EU,Ukraine,83
Philippines,châu Á,83
Bình Định,Quy Nhơn,83
Reuters,Washington,83
Iran,Tehran,83
"Bộ Văn hóa, Thể thao và Du lịch",Việt Nam,83
Trần Thanh Mẫn,Việt Nam,83
AFP,Trung Quốc,83
Los Angeles,Mỹ,82
Qatar,Trump,82
Thổ Nhĩ Kỳ,Zelensky,82
Hà Nội,Phú Thọ,81
Hà Nội,Thái Bình,81
Hà Nội,miền Trung,81
Hà Nội,Hải Dương,81
Anh,Hàn Quốc,81
Bắc Kinh,Trump,81
Malaysia,Philippines,81
Ba Lan,châu Âu,81
NATO,châu Âu,81
AFP,Anh,81
Việt Nam,miền Tây,80
Pháp,Reuters,80
miền Nam,miền Trung,80
